"","X","id","value","location","dates","measure","micrograms","value1","normal"
"67348",67348,910642,32.9,"Kannika","09-May-08","Aluminium",1,32.9,8.66718e-07
"67385",67385,911545,33,"Kannika","09-May-08","Aluminium",1,33,8.69353e-07
"67422",67422,912462,36.4,"Kannika","09-May-08","Aluminium",1,36.4,9.58922e-07
"67459",67459,913414,38.7,"Sakda","09-May-08","Aluminium",1,38.7,1.01951e-06
"67496",67496,914369,44.2,"Sakda","09-May-08","Aluminium",1,44.2,1.16441e-06
"67533",67533,915334,45.1,"Sakda","09-May-08","Aluminium",1,45.1,1.18812e-06
"67835",67835,902467,44.8,"Chai","31-May-08","Aluminium",1,44.8,1.18021e-06
"67875",67875,903592,41.3,"Chai","31-May-08","Aluminium",1,41.3,1.08801e-06
"67915",67915,904726,40.5,"Chai","31-May-08","Aluminium",1,40.5,1.06693e-06
"71085",71085,910870,31.1,"Kannika","12-Oct-08","Aluminium",1,31.1,8.19299e-07
"71129",71129,911787,32,"Kannika","12-Oct-08","Aluminium",1,32,8.43009e-07
"71173",71173,912693,34.4,"Kannika","12-Oct-08","Aluminium",1,34.4,9.06234e-07
"71217",71217,913648,47.2,"Sakda","12-Oct-08","Aluminium",1,47.2,1.24344e-06
"71261",71261,914613,46.8,"Sakda","12-Oct-08","Aluminium",1,46.8,1.2329e-06
"71305",71305,915567,47,"Sakda","12-Oct-08","Aluminium",1,47,1.23817e-06
"71427",71427,902787,33.1,"Chai","17-Oct-08","Aluminium",1,33.1,8.71987e-07
"71470",71470,903923,35.5,"Chai","17-Oct-08","Aluminium",1,35.5,9.35213e-07
"71513",71513,905045,36.8,"Chai","17-Oct-08","Aluminium",1,36.8,9.6946e-07
"71556",71556,905962,69.3,"Somchair","19-Oct-08","Aluminium",1,69.3,1.82564e-06
"71600",71600,906553,50.4,"Busarakhan","19-Oct-08","Aluminium",1,50.4,1.32774e-06
"75531",75531,1020454,330,"Kannika","17-Apr-09","Aluminium",1,330,8.69353e-06
"75577",75577,1021549,360,"Kannika","17-Apr-09","Aluminium",1,360,9.48385e-06
"75623",75623,1022705,410,"Kannika","17-Apr-09","Aluminium",1,410,1.0801e-05
"75669",75669,1023862,500,"Sakda","17-Apr-09","Aluminium",1,500,1.3172e-05
"75715",75715,1024983,480,"Sakda","17-Apr-09","Aluminium",1,480,1.26451e-05
"75761",75761,1026104,420,"Sakda","17-Apr-09","Aluminium",1,420,1.10645e-05
"75807",75807,1005738,710,"Chai","18-Apr-09","Aluminium",1,710,1.87043e-05
"75853",75853,1007126,700,"Chai","18-Apr-09","Aluminium",1,700,1.84408e-05
"75899",75899,1008488,790,"Chai","18-Apr-09","Aluminium",1,790,2.08118e-05
"76159",76159,1009460,690,"Somchair","25-Apr-09","Aluminium",1,690,1.81774e-05
"76205",76205,1010236,520,"Busarakhan","25-Apr-09","Aluminium",1,520,1.36989e-05
"76379",76379,1020522,150,"Kannika","08-May-09","Aluminium",1,150,3.9516e-06
"76425",76425,1021616,144,"Kannika","08-May-09","Aluminium",1,144,3.79354e-06
"76471",76471,1022773,150,"Kannika","08-May-09","Aluminium",1,150,3.9516e-06
"76517",76517,1023930,140,"Sakda","08-May-09","Aluminium",1,140,3.68816e-06
"76563",76563,1025051,125,"Sakda","08-May-09","Aluminium",1,125,3.293e-06
"76609",76609,1026172,120,"Sakda","08-May-09","Aluminium",1,120,3.16128e-06
"76866",76866,1005826,130,"Chai","21-May-09","Aluminium",1,130,3.42472e-06
"76912",76912,1007214,150,"Chai","21-May-09","Aluminium",1,150,3.9516e-06
"76958",76958,1008576,158,"Chai","21-May-09","Aluminium",1,158,4.16236e-06
"77004",77004,1009527,180,"Somchair","25-May-09","Aluminium",1,180,4.74192e-06
"77050",77050,1010303,110,"Busarakhan","25-May-09","Aluminium",1,110,2.89784e-06
"77296",77296,1020589,160,"Kannika","12-Jun-09","Aluminium",1,160,4.21504e-06
"77341",77341,1021683,170,"Kannika","12-Jun-09","Aluminium",1,170,4.47848e-06
"77386",77386,1022840,178,"Kannika","12-Jun-09","Aluminium",1,178,4.68924e-06
"77431",77431,1023997,120,"Sakda","12-Jun-09","Aluminium",1,120,3.16128e-06
"77476",77476,1025118,144,"Sakda","12-Jun-09","Aluminium",1,144,3.79354e-06
"77521",77521,1026239,146,"Sakda","12-Jun-09","Aluminium",1,146,3.84623e-06
"77566",77566,1005910,144,"Chai","14-Jun-09","Aluminium",1,144,3.79354e-06
"77611",77611,1007298,150,"Chai","14-Jun-09","Aluminium",1,150,3.9516e-06
"77656",77656,1008660,161,"Chai","14-Jun-09","Aluminium",1,161,4.24139e-06
"77972",77972,1009594,175,"Somchair","28-Jun-09","Aluminium",1,175,4.6102e-06
"78017",78017,1010370,140,"Busarakhan","28-Jun-09","Aluminium",1,140,3.68816e-06
"78253",78253,1020654,230,"Kannika","11-Jul-09","Aluminium",1,230,6.05912e-06
"78298",78298,1021748,210,"Kannika","11-Jul-09","Aluminium",1,210,5.53224e-06
"78343",78343,1022905,189,"Kannika","11-Jul-09","Aluminium",1,189,4.97902e-06
"78388",78388,1024062,190,"Sakda","11-Jul-09","Aluminium",1,190,5.00536e-06
"78432",78432,1025183,210,"Sakda","11-Jul-09","Aluminium",1,210,5.53224e-06
"78476",78476,1026304,210,"Sakda","11-Jul-09","Aluminium",1,210,5.53224e-06
"78815",78815,1009657,250,"Somchair","26-Jul-09","Aluminium",1,250,6.586e-06
"78856",78856,1010433,140,"Busarakhan","26-Jul-09","Aluminium",1,140,3.68816e-06
"78964",78964,1020719,88,"Kannika","08-Aug-09","Aluminium",1,88,2.31827e-06
"79009",79009,1021813,75,"Kannika","08-Aug-09","Aluminium",1,75,1.9758e-06
"79054",79054,1022970,89,"Kannika","08-Aug-09","Aluminium",1,89,2.34462e-06
"79099",79099,1024125,89,"Sakda","08-Aug-09","Aluminium",1,89,2.34462e-06
"79144",79144,1025246,91,"Sakda","08-Aug-09","Aluminium",1,91,2.39731e-06
"79189",79189,1026367,97,"Sakda","08-Aug-09","Aluminium",1,97,2.55537e-06
"79620",79620,1009717,120,"Somchair","28-Aug-09","Aluminium",1,120,3.16128e-06
"79665",79665,1010493,112,"Busarakhan","28-Aug-09","Aluminium",1,112,2.95053e-06
"79772",79772,1024190,90,"Sakda","07-Sep-09","Aluminium",1,90,2.37096e-06
"79815",79815,1025311,100,"Sakda","07-Sep-09","Aluminium",1,100,2.6344e-06
"79858",79858,1026432,120,"Sakda","07-Sep-09","Aluminium",1,120,3.16128e-06
"80061",80061,1020785,100,"Kannika","09-Sep-09","Aluminium",1,100,2.6344e-06
"80105",80105,1021879,93,"Kannika","09-Sep-09","Aluminium",1,93,2.44999e-06
"80149",80149,1023036,87,"Kannika","09-Sep-09","Aluminium",1,87,2.29193e-06
"80287",80287,1006156,110,"Chai","22-Sep-09","Aluminium",1,110,2.89784e-06
"80355",80355,1007544,140,"Chai","22-Sep-09","Aluminium",1,140,3.68816e-06
"80397",80397,1008906,130,"Chai","22-Sep-09","Aluminium",1,130,3.42472e-06
"80465",80465,1009782,150,"Somchair","24-Sep-09","Aluminium",1,150,3.9516e-06
"80833",80833,1024283,110,"Sakda","08-Oct-09","Aluminium",1,110,2.89784e-06
"80874",80874,1025404,93,"Sakda","08-Oct-09","Aluminium",1,93,2.44999e-06
"80915",80915,1026552,90,"Sakda","08-Oct-09","Aluminium",1,90,2.37096e-06
"80962",80962,1020850,97,"Kannika","10-Oct-09","Aluminium",1,97,2.55537e-06
"81003",81003,1021979,101,"Kannika","10-Oct-09","Aluminium",1,101,2.66075e-06
"81044",81044,1023163,120,"Kannika","10-Oct-09","Aluminium",1,120,3.16128e-06
"81111",81111,1006260,130,"Chai","19-Oct-09","Aluminium",1,130,3.42472e-06
"81180",81180,1007622,140,"Chai","19-Oct-09","Aluminium",1,140,3.68816e-06
"81249",81249,1009010,120,"Chai","19-Oct-09","Aluminium",1,120,3.16128e-06
"81529",81529,1009871,147,"Somchair","30-Oct-09","Aluminium",1,147,3.87257e-06
"81597",81597,1010619,140,"Busarakhan","30-Oct-09","Aluminium",1,140,3.68816e-06
"81857",81857,1020908,51,"Kannika","13-Nov-09","Aluminium",1,51,1.34354e-06
"81897",81897,1022037,60,"Kannika","13-Nov-09","Aluminium",1,60,1.58064e-06
"81964",81964,1023221,67,"Kannika","13-Nov-09","Aluminium",1,67,1.76505e-06
"82004",82004,1024341,67,"Sakda","13-Nov-09","Aluminium",1,67,1.76505e-06
"82044",82044,1025462,59,"Sakda","13-Nov-09","Aluminium",1,59,1.5543e-06
"82084",82084,1026610,54,"Sakda","13-Nov-09","Aluminium",1,54,1.42258e-06
"82123",82123,1009959,114,"Somchair","14-Nov-09","Aluminium",1,114,3.00322e-06
"82161",82161,1010707,78,"Busarakhan","14-Nov-09","Aluminium",1,78,2.05483e-06
"82200",82200,1006366,79,"Chai","16-Nov-09","Aluminium",1,79,2.08118e-06
"82240",82240,1007728,67,"Chai","16-Nov-09","Aluminium",1,67,1.76505e-06
"82280",82280,1009116,71,"Chai","16-Nov-09","Aluminium",1,71,1.87043e-06
"82516",82516,1006460,70,"Chai","05-Dec-09","Aluminium",1,70,1.84408e-06
"82556",82556,1007822,67,"Chai","05-Dec-09","Aluminium",1,67,1.76505e-06
"82596",82596,1009210,57,"Chai","05-Dec-09","Aluminium",1,57,1.50161e-06
"82636",82636,1020966,47,"Kannika","05-Dec-09","Aluminium",1,47,1.23817e-06
"82676",82676,1022122,52,"Kannika","05-Dec-09","Aluminium",1,52,1.36989e-06
"82716",82716,1023279,60,"Kannika","05-Dec-09","Aluminium",1,60,1.58064e-06
"82756",82756,1024399,23,"Sakda","05-Dec-09","Aluminium",1,23,6.05912e-07
"82796",82796,1025520,47,"Sakda","05-Dec-09","Aluminium",1,47,1.23817e-06
"82836",82836,1026668,49,"Sakda","05-Dec-09","Aluminium",1,49,1.29086e-06
"83145",83145,1010016,87,"Somchair","19-Dec-09","Aluminium",1,87,2.29193e-06
"83185",83185,1010764,61,"Busarakhan","19-Dec-09","Aluminium",1,61,1.60699e-06
"83254",83254,1349126,55,"Kannika","10-Jan-10","Aluminium",1,55,1.44892e-06
"83292",83292,1349735,60,"Kannika","10-Jan-10","Aluminium",1,60,1.58064e-06
"83330",83330,1350344,58,"Kannika","10-Jan-10","Aluminium",1,58,1.52795e-06
"83368",83368,1350953,89,"Sakda","10-Jan-10","Aluminium",1,89,2.34462e-06
"83406",83406,1351562,80,"Sakda","10-Jan-10","Aluminium",1,80,2.10752e-06
"83444",83444,1352171,77,"Sakda","10-Jan-10","Aluminium",1,77,2.02849e-06
"83539",83539,1341157,83,"Chai","17-Jan-10","Aluminium",1,83,2.18655e-06
"83575",83575,1342361,78,"Chai","17-Jan-10","Aluminium",1,78,2.05483e-06
"83611",83611,1343565,84,"Chai","17-Jan-10","Aluminium",1,84,2.2129e-06
"83668",83668,1326721,89,"Somchair","24-Jan-10","Aluminium",1,89,2.34462e-06
"83706",83706,1327317,59,"Busarakhan","24-Jan-10","Aluminium",1,59,1.5543e-06
"111454",111454,2622989,0,"Kannika","12-Jun-14","Aluminium",1,0,0
"111488",111488,2623492,0,"Kannika","12-Jun-14","Aluminium",1,0,0
"111522",111522,2623994,0,"Kannika","12-Jun-14","Aluminium",1,0,0
